name	code
이지케어텍	99750
유안타제4호스팩	313750
미래에셋벤처투자	100790
에코프로비엠	247540
셀리드	299660
천보	278280
이노테라피	246960
노랑풍선	104620
웹케시	53580
비피도	238200
키움제5호스팩	311270
엔에이치스팩13호	310840
유틸렉스	263050
디케이티	290550
미래에셋대우스팩2호	310200
신영스팩4호	307180
삼성머스트스팩3호	309930
위지윅스튜디오	299900
한국제8호스팩	310870
대신밸런스제6호스팩	307750
에이비엘바이오	298380
머큐리	100590
전진바이오팜	110020
뉴트리	270870
골든브릿지이안5호	307870
이노메트리	302430
SK4호스팩	307070
대유에이피	290120
교보8호스팩	307280
에코캡	128540
베스파	299910
윙입푸드	900340
하나머스트제6호스팩	307160
남화산업	111710
엠아이텍	179290
티로보틱스	117730
네오펙트	290660
티앤알바이오팹	246710
디알젬	263690
싸이토젠	217330
아주IB투자	27360
파멥신	208340
디케이앤디	263020
디자인	227100
노바렉스	194700
셀리버리	268600
대보마그네틱	290670
노바텍	285490
엘앤씨바이오	290650
DB금융스팩6호	306620
로보티즈	108490
옵티팜	153710
에스퓨얼셀	288620
나우아이비캐피탈	293580
푸드나무	290720
크리스에프앤씨	110790
IBKS제10호스팩	299170
지티지웰니스	219750
명성티엔에스	257370
삼성스팩2호	291230
디지캡	197140
대신밸런스제5호스팩	303030
액트로	290740
오파스넷	173130
에이피티씨	89970
바이오솔루션	86820
대유	290380
디아이티	110990
에스에스알	275630
휴네시온	290270
한국유니온제약	80720
엠코르셋	204020
IBKS제9호스팩	297570
올릭스	226950
아이큐어	175250
SV인베스트먼트	289080
EDGC	245620
하나금융11호스팩	284620
파워넷	37030
현대사료	16790
세종메디칼	258830
제노레이	122310
한국제7호스팩	291210
유안타제3호스팩	287410
JTC	950170
네오셈	253590
케어랩스	263700
에코마이스터	64510
린드먼아시아	277070
오스테오닉	226400
엔지켐생명과학	183490
동구바이오제약	6620
아시아종묘	154030
알리코제약	260660
카페24	42000
링크제니시스	219420
배럴	267790
SG	255220
씨앤지하이테크	264660
시스웍	269620
한국제6호스팩	281410
디바이스이엔지	187870
동부스팩5호	281740
씨티케이코스메틱스	260930
메카로	241770
에스트래픽	234300
체리부로	66360
대원	7680
비즈니스온	138580
한화에이스스팩4호	279410
스튜디오드래곤	253450
IBKS제7호스팩	276920
비디아이	148140
코오롱티슈진	950160
영화테크	265560
세원	234100
신한제4호스팩	277480
상신전자	263810
야스	255440
인산가	277410
에스엔피월드	263920
신흥에스이씨	243840
유티아이	179900
선익시스템	171090
엠플러스	259630
앱클론	174900
샘코	263540
펄어비스	263750
케이피에스	256940
덕우전자	263600
이더블유케이	258610
하나금융10호스팩	270520
알에스오토메이션	140670
컬러레이	900310
엔에이치스팩12호	273060
모트렉스	118990
데이타솔루션	263800
지니언스	263860
디앤씨미디어	263720
셀트리온헬스케어	91990
이즈미디어	181340
한국제5호스팩	271740
힘스	238490
브이원텍	251630
아우딘퓨쳐스	227610
이녹스첨단소재	272290
하림지주	3380
하나금융9호스팩	261200
교보7호스팩	267320
보라티알	250000
한화수성스팩	265920
매일유업	267980
삼양옵틱스	225190
IBKS제6호스팩	264850
필옵틱스	161580
미래에셋대우스팩1호	265480
엔에이치스팩10호	256630
한화에이스스팩3호	264290
하나머티리얼즈	166090
와이엠티	251370
케이비제11호스팩	258790
AP시스템	265520
유에스티	263770
이엘피	63760
유비쿼스	264450
서진시스템	178320
코미코	183300
아스타	246720
대신밸런스제4호스팩	262830
에스디생명공학	217480
신신제약	2800
에프엔에스테크	83500
모바일어플라이언스	87260
신한제3호스팩	257730
피씨엘	241820
서플러스글로벌	140070
유바이오로직스	206650
엔에이치스팩11호	256840
퓨전데이타	195440
DSC인베스트먼트	241520
티에스인베스트먼트	246690
마이크로프랜드	147760
현성바이탈	204990
애니젠	196300
유니온커뮤니티	203450
신라젠	215600
IBKS제5호스팩	254120
오션브릿지	241790
